======================================================================
TRADING BOT LOG FILE
======================================================================

[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-04-01 19:00:00, Price: 46361.68, Cash: $0.00, Position: 0.21458, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=51.77, BB_Lower=44722.75, KAMA=45379.83, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-04-05 23:00:00, Price: 45497.55, New Balance: $9763.05, PnL: $-185.43 (-1.86%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=41.07, BB_Lower=45471.96, KAMA=45778.75, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-05-30 15:00:00, Price: 30634.08, Cash: $0.00, Position: 0.31870, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=73.32, BB_Lower=27958.44, KAMA=30334.40, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-05-30 19:00:00, Price: 30643.11, New Balance: $9765.92, PnL: $2.88 (0.03%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=73.43, BB_Lower=27934.15, KAMA=30441.89, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-06-03 07:00:00, Price: 30443.74, Cash: $0.00, Position: 0.32079, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=49.85, BB_Lower=29301.24, KAMA=30508.87, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-06-03 11:00:00, Price: 29758.19, New Balance: $9546.01, PnL: $-219.91 (-2.25%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=39.93, BB_Lower=29180.88, KAMA=30485.28, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-06-04 03:00:00, Price: 29560.12, Cash: $0.00, Position: 0.32294, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=38.92, BB_Lower=28871.43, KAMA=30362.38, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-06-06 03:00:00, Price: 31251.00, New Balance: $10092.06, PnL: $546.05 (5.72%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=67.62, BB_Lower=29067.63, KAMA=30321.85, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-09 23:00:00, Price: 21591.83, Cash: $0.00, Position: 0.46740, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=59.54, BB_Lower=20197.50, KAMA=21487.42, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-10 15:00:00, Price: 20899.76, New Balance: $9768.58, PnL: $-323.47 (-3.21%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=45.44, BB_Lower=20731.04, KAMA=21354.17, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-10 23:00:00, Price: 20862.47, Cash: $0.00, Position: 0.46824, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=44.79, BB_Lower=20841.09, KAMA=21203.54, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-11 07:00:00, Price: 20439.91, New Balance: $9570.72, PnL: $-197.86 (-2.03%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=37.63, BB_Lower=20488.93, KAMA=20877.59, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-11 15:00:00, Price: 20437.44, Cash: $0.00, Position: 0.46829, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=37.89, BB_Lower=20268.34, KAMA=20639.35, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-11 23:00:00, Price: 19963.61, New Balance: $9348.83, PnL: $-221.89 (-2.32%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=31.36, BB_Lower=20003.49, KAMA=20396.63, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-14 03:00:00, Price: 20224.24, Cash: $0.00, Position: 0.46226, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=50.87, BB_Lower=19103.33, KAMA=19719.65, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-14 07:00:00, Price: 19990.72, New Balance: $9240.88, PnL: $-107.95 (-1.15%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=46.74, BB_Lower=19158.93, KAMA=19721.84, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-07-14 23:00:00, Price: 20588.84, Cash: $0.00, Position: 0.44883, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=56.48, BB_Lower=19135.72, KAMA=19903.53, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-07-16 07:00:00, Price: 20546.18, New Balance: $9221.74, PnL: $-19.15 (-0.21%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=51.49, BB_Lower=19272.40, KAMA=20424.42, ST_DIR=1
